Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,US-2020-100000,2020-07-09,2020-07-13,Standard Class,CU-10000,Charles Garcia,Consumer,United States,Rochester,New York,West,TEC-87224,Technology,Phones,Phones Model 881,246.8,1,0.2,58.85
2,US-2019-100001,2019-01-18,2019-01-21,Second Class,CU-10001,Lisa Wilson,Consumer,United States,Chicago,Illinois,West,TEC-67276,Technology,Machines,Machines Model 835,1656.16,6,0.2,196.37
3,US-2018-100002,2018-02-01,2018-02-05,Standard Class,CU-10002,Christopher Brown,Consumer,United States,Rochester,New York,South,OFF-30249,Office Supplies,Storage,Storage Model 917,161.93,7,0.3,15.46
4,US-2019-100003,2019-11-24,2019-11-25,Second Class,CU-10003,John White,Home Office,United States,Charlotte,North Carolina,West,TEC-33908,Technology,Machines,Machines Model 393,973.72,5,0.0,251.66
5,US-2018-100004,2018-07-01,2018-07-05,Standard Class,CU-10004,Jessica Taylor,Consumer,United States,Tampa,Florida,Central,FUR-76743,Furniture,Tables,Tables Model 819,2123.43,6,0.2,142.85
6,US-2019-100005,2019-09-22,2019-09-23,Second Class,CU-10005,David Thomas,Corporate,United States,Dallas,Texas,East,FUR-22710,Furniture,Furnishings,Furnishings Model 906,481.18,4,0.2,52.05
7,US-2019-100006,2019-08-02,2019-08-04,Standard Class,CU-10006,Charles Smith,Consumer,United States,Springfield,Illinois,Central,OFF-32092,Office Supplies,Paper,Paper Model 180,70.57,4,0.0,14.45
8,US-2017-100007,2017-01-20,2017-01-25,Second Class,CU-10007,Barbara Brown,Consumer,United States,San Diego,California,South,FUR-23902,Furniture,Furnishings,Furnishings Model 502,3001.06,8,0.0,84.61
9,US-2019-100008,2019-12-05,2019-12-06,Standard Class,CU-10008,James White,Consumer,United States,Miami,Florida,West,OFF-34413,Office Supplies,Appliances,Appliances Model 111,24.17,1,0.1,6.71
10,US-2019-100009,2019-05-04,2019-05-11,Standard Class,CU-10009,Jessica White,Consumer,United States,Cleveland,Ohio,East,FUR-57060,Furniture,Furnishings,Furnishings Model 602,2477.44,7,0.0,41.74
11,US-2018-100010,2018-11-28,2018-11-29,First Class,CU-10010,Nancy Brown,Home Office,United States,Grand Rapids,Michigan,West,TEC-36683,Technology,Machines,Machines Model 390,3311.56,8,0.1,328.29
12,US-2018-100011,2018-02-10,2018-02-12,Standard Class,CU-10011,Karen Taylor,Corporate,United States,Pittsburgh,Pennsylvania,West,TEC-89800,Technology,Accessories,Accessories Model 988,1384.25,5,0.0,250.09
13,US-2019-100012,2019-04-11,2019-04-15,Standard Class,CU-10012,Patricia Jones,Consumer,United States,Houston,Texas,West,TEC-74113,Technology,Phones,Phones Model 779,643.35,3,0.1,136.33
14,US-2017-100013,2017-09-26,2017-10-01,Second Class,CU-10013,James Taylor,Corporate,United States,Dallas,Texas,West,FUR-60383,Furniture,Chairs,Chairs Model 206,447.37,3,0.1,40.06
15,US-2017-100014,2017-11-22,2017-11-23,Second Class,CU-10014,Richard Brown,Home Office,United States,Chicago,Illinois,South,FUR-23909,Furniture,Tables,Tables Model 730,2782.19,6,0.1,-23.44
16,US-2017-100015,2017-12-17,2017-12-24,Standard Class,CU-10015,Patricia Miller,Home Office,United States,Tucson,Arizona,Central,OFF-45903,Office Supplies,Appliances,Appliances Model 592,30.21,2,0.1,5.61
17,US-2017-100016,2017-02-19,2017-02-21,Standard Class,CU-10016,John Jackson,Home Office,United States,Charlotte,North Carolina,South,TEC-83604,Technology,Machines,Machines Model 841,525.79,3,0.2,112.98
18,US-2017-100017,2017-06-25,2017-06-28,Standard Class,CU-10017,Richard Jackson,Home Office,United States,Atlanta,Georgia,West,FUR-64284,Furniture,Chairs,Chairs Model 745,673.51,2,0.0,36.08
19,US-2017-100018,2017-09-17,2017-09-18,Standard Class,CU-10018,William Davis,Consumer,United States,Tucson,Arizona,Central,TEC-91279,Technology,Phones,Phones Model 821,1078.57,6,0.2,160.8
20,US-2018-100019,2018-09-12,2018-09-17,First Class,CU-10019,James Jackson,Corporate,United States,Austin,Texas,West,TEC-94378,Technology,Accessories,Accessories Model 235,1211.43,7,0.1,157.0
21,US-2017-100020,2017-05-17,2017-05-20,Standard Class,CU-10020,Charles Smith,Home Office,United States,Tampa,Florida,West,TEC-51781,Technology,Copiers,Copiers Model 686,191.92,2,0.0,32.49
22,US-2017-100021,2017-04-30,2017-05-04,Standard Class,CU-10021,James Brown,Consumer,United States,Pittsburgh,Pennsylvania,South,OFF-80944,Office Supplies,Binders,Binders Model 362,136.31,3,0.0,31.06
23,US-2017-100022,2017-09-05,2017-09-08,Second Class,CU-10022,Mary Brown,Corporate,United States,Cleveland,Ohio,West,OFF-14944,Office Supplies,Appliances,Appliances Model 261,17.25,6,0.2,2.48
24,US-2018-100023,2018-05-18,2018-05-19,Standard Class,CU-10023,Christopher Taylor,Corporate,United States,Spokane,Washington,West,OFF-70741,Office Supplies,Supplies,Supplies Model 664,148.61,6,0.0,30.73
25,US-2018-100024,2018-07-23,2018-07-26,Second Class,CU-10024,Mary Smith,Consumer,United States,Tampa,Florida,South,TEC-66344,Technology,Copiers,Copiers Model 144,526.95,4,0.0,103.76
26,US-2017-100025,2017-05-24,2017-05-27,Standard Class,CU-10025,Barbara Williams,Corporate,United States,Savannah,Georgia,South,OFF-19996,Office Supplies,Supplies,Supplies Model 742,135.7,9,0.0,32.47
27,US-2019-100026,2019-06-01,2019-06-03,Second Class,CU-10026,William Brown,Consumer,United States,Seattle,Washington,East,OFF-56845,Office Supplies,Paper,Paper Model 173,36.22,1,0.1,8.86
28,US-2017-100027,2017-04-09,2017-04-10,Second Class,CU-10027,Richard Brown,Consumer,United States,Grand Rapids,Michigan,West,OFF-66207,Office Supplies,Binders,Binders Model 457,88.6,5,0.1,18.27
29,US-2020-100028,2020-05-02,2020-05-06,First Class,CU-10028,Susan Wilson,Home Office,United States,Pittsburgh,Pennsylvania,West,FUR-85029,Furniture,Tables,Tables Model 842,682.57,5,0.5,-42.78
30,US-2019-100029,2019-06-03,2019-06-07,Second Class,CU-10029,Michael Taylor,Consumer,United States,Orlando,Florida,East,TEC-96326,Technology,Machines,Machines Model 714,590.52,3,0.2,101.35
